id_nest;id_sample;comment;site;campaign;species;OD_cor;latitude;longitude;length;width;d13C;d15N;d34S
BCN16-YLG-001;BCN16-YLG-001;NA;BCN;2016;YLG;0.474998509;NA;NA;NA;NA;-19.1691;11.3815;14.8962
BCN16-YLG-004;BCN16-YLG-004;NA;BCN;2016;YLG;0.031095087;NA;NA;NA;NA;-20.9221;9.2443;8.5654
BCN16-YLG-006;BCN16-YLG-006;NA;BCN;2016;YLG;0.449476284;NA;NA;NA;NA;-20.8855;10.1642;10.7496
BCN16-YLG-008;BCN16-YLG-008;NA;BCN;2016;YLG;0.238532488;NA;NA;NA;NA;-20.1667;9.9865;10.06
BCN16-YLG-011;BCN16-YLG-011;NA;BCN;2016;YLG;-0.082728934;NA;NA;NA;NA;-22.2191;9.0151;6.3153
BCN16-YLG-013;BCN16-YLG-013;NA;BCN;2016;YLG;0.419176267;NA;NA;NA;NA;-20.9832;10.3439;10.5604
BCN16-YLG-015;BCN16-YLG-015;NA;BCN;2016;YLG;-0.017574332;NA;NA;NA;NA;-20.6564;9.5881;5.4126
BCN16-YLG-017;BCN16-YLG-017;NA;BCN;2016;YLG;0.263239466;NA;NA;NA;NA;-21.4881;9.628;7.8721
BCN16-YLG-020;BCN16-YLG-020;NA;BCN;2016;YLG;-0.059269783;NA;NA;NA;NA;-21.2387;10.4922;9.5225
BCN16-YLG-021;BCN16-YLG-021;NA;BCN;2016;YLG;-0.112184587;NA;NA;NA;NA;-21.6174;9.6859;6.3454
FRI10-YLG-011;FRI10-YLG-011;NA;FRI;2010;YLG;-0.021168323;NA;NA;NA;NA;-21.1074;9.9697;11.1071
FRI10-YLG-015;FRI10-YLG-015;NA;FRI;2010;YLG;0.037317679;NA;NA;NA;NA;-22.0007;9.6062;8.2915
FRI10-YLG-022;FRI10-YLG-022;NA;FRI;2010;YLG;0.004989533;NA;NA;NA;NA;-21.9156;10.6735;9.8523
FRI10-YLG-035;FRI10-YLG-035;NA;FRI;2010;YLG;0.540345061;NA;NA;NA;NA;-21.2988;11.0159;11.6154
FRI10-YLG-046;FRI10-YLG-046;NA;FRI;2010;YLG;0.091595391;NA;NA;NA;NA;-21.7313;11.5848;9.0158
FRI10-YLG-047;FRI10-YLG-047;NA;FRI;2010;YLG;0.38940413;NA;NA;NA;NA;-21.3839;10.6039;11.3041
FRI10-YLG-050;FRI10-YLG-050;NA;FRI;2010;YLG;-0.018347116;NA;NA;NA;NA;-21.3363;10.5797;10.947
FRI10-YLG-051;FRI10-YLG-051;NA;FRI;2010;YLG;0.424643854;NA;NA;NA;NA;-22.5213;9.8106;6.7286
FRI10-YLG-052;FRI10-YLG-052;NA;FRI;2010;YLG;-0.033749871;NA;NA;NA;NA;-22.4099;9.9855;8.8188
FRI10-YLG-053;FRI10-YLG-053;NA;FRI;2010;YLG;-0.030566481;NA;NA;NA;NA;-20.9251;11.4626;11.9703
GRU10-YLG-061;GRU10-YLG-061;NA;GRU;2010;YLG;0.779760836;NA;NA;NA;NA;-22.9578;10.7251;6.9266
GRU10-YLG-061;GRU10-YLG-061bis;replicated dilution;GRU;2010;YLG;0.657176259;NA;NA;NA;NA;-22.9578;10.7251;6.9266
GRU10-YLG-061;GRU10-YLG-061ter;replicated dilution;GRU;2010;YLG;0.58835071;NA;NA;NA;NA;-22.9578;10.7251;6.9266
GRU10-YLG-063;GRU10-YLG-063;NA;GRU;2010;YLG;0.136349175;NA;NA;NA;NA;-21.5287;8.6875;7.2209
GRU10-YLG-064;GRU10-YLG-064;NA;GRU;2010;YLG;0.20433564;NA;NA;NA;NA;-22.1091;10.5555;7.311
GRU10-YLG-065;GRU10-YLG-065ter;replicated dilution;GRU;2010;YLG;0.623943679;NA;NA;NA;NA;-22.8566;9.3839;7.5121
GRU10-YLG-065;GRU10-YLG-065bis;replicated dilution;GRU;2010;YLG;0.615095743;NA;NA;NA;NA;-22.8566;9.3839;7.5121
GRU10-YLG-065;GRU10-YLG-065;NA;GRU;2010;YLG;0.443435099;NA;NA;NA;NA;-22.8566;9.3839;7.5121
GRU10-YLG-068;GRU10-YLG-068ter;replicated dilution;GRU;2010;YLG;0.708943826;NA;NA;NA;NA;-22.2337;10.0582;8.7458
GRU10-YLG-068;GRU10-YLG-068bis;replicated dilution;GRU;2010;YLG;0.638574868;NA;NA;NA;NA;-22.2337;10.0582;8.7458
GRU10-YLG-068;GRU10-YLG-068;NA;GRU;2010;YLG;0.816755468;NA;NA;NA;NA;-22.2337;10.0582;8.7458
GRU10-YLG-073;GRU10-YLG-073;NA;GRU;2010;YLG;0.736484641;NA;NA;NA;NA;-22.8201;8.7444;7.8171
GRU10-YLG-073;GRU10-YLG-073ter;replicated dilution;GRU;2010;YLG;0.663365991;NA;NA;NA;NA;-22.8201;8.7444;7.8171
GRU10-YLG-073;GRU10-YLG-073bis;replicated dilution;GRU;2010;YLG;0.614055402;NA;NA;NA;NA;-22.8201;8.7444;7.8171
GRU10-YLG-074;GRU10-YLG-074;NA;GRU;2010;YLG;0.022249774;NA;NA;NA;NA;-21.4487;11.1855;8.5043
GRU10-YLG-074;GRU10-YLG-074ter;replicated dilution;GRU;2010;YLG;0.099184836;NA;NA;NA;NA;-21.4487;11.1855;8.5043
GRU10-YLG-074;GRU10-YLG-074bis;replicated dilution;GRU;2010;YLG;0.016003778;NA;NA;NA;NA;-21.4487;11.1855;8.5043
GRU10-YLG-077;GRU10-YLG-077bis;replicated dilution;GRU;2010;YLG;0.681655481;NA;NA;NA;NA;-22.3066;9.1921;7.5397
GRU10-YLG-077;GRU10-YLG-077;NA;GRU;2010;YLG;0.677165588;NA;NA;NA;NA;-22.3066;9.1921;7.5397
GRU10-YLG-077;GRU10-YLG-077ter;replicated dilution;GRU;2010;YLG;0.557484555;NA;NA;NA;NA;-22.3066;9.1921;7.5397
GRU10-YLG-082;GRU10-YLG-082ter;replicated dilution;GRU;2010;YLG;-0.005022394;NA;NA;NA;NA;-21.8467;10.0318;8.0628
GRU10-YLG-082;GRU10-YLG-082bis;replicated dilution;GRU;2010;YLG;-0.045893538;NA;NA;NA;NA;-21.8467;10.0318;8.0628
GRU10-YLG-082;GRU10-YLG-082;NA;GRU;2010;YLG;-0.004881326;NA;NA;NA;NA;-21.8467;10.0318;8.0628
GRU10-YLG-086;GRU10-YLG-086ter;replicated dilution;GRU;2010;YLG;0.114188294;NA;NA;NA;NA;-22.1881;10.3311;8.8178
GRU10-YLG-086;GRU10-YLG-086bis;replicated dilution;GRU;2010;YLG;0.105591892;NA;NA;NA;NA;-22.1881;10.3311;8.8178
GRU10-YLG-086;GRU10-YLG-086;NA;GRU;2010;YLG;0.270038873;NA;NA;NA;NA;-22.1881;10.3311;8.8178
MED10-YLG-004;MED10-YLG-004;NA;MED;2010;YLG;0.080372939;NA;NA;NA;NA;-21.6223;10.4769;6.2508
MED10-YLG-009;MED10-YLG-009;NA;MED;2010;YLG;-0.108285477;NA;NA;NA;NA;-21.0675;11.1062;6.1035
MED10-YLG-013;MED10-YLG-013;NA;MED;2010;YLG;0.728825198;NA;NA;NA;NA;-20.8053;10.5502;9.8244
MED10-YLG-017;MED10-YLG-017;NA;MED;2010;YLG;-0.027486515;NA;NA;NA;NA;-21.2646;9.5597;9.8201
MED10-YLG-020;MED10-YLG-020;NA;MED;2010;YLG;0.122110076;NA;NA;NA;NA;-21.733;10.4476;8.3579
MED10-YLG-022;MED10-YLG-022;NA;MED;2010;YLG;0.113799534;NA;NA;NA;NA;-20.852;10.3523;6.1587
MED10-YLG-025;MED10-YLG-025;NA;MED;2010;YLG;-0.151873702;NA;NA;NA;NA;-22.1009;9.7523;4.7739
MED10-YLG-028;MED10-YLG-028;NA;MED;2010;YLG;0.152314913;NA;NA;NA;NA;-19.3908;12.3647;7.1364
MED10-YLG-030;MED10-YLG-030;NA;MED;2010;YLG;0.17635401;NA;NA;NA;NA;-21.4922;9.9774;5.6188
MED10-YLG-032;MED10-YLG-032;NA;MED;2010;YLG;-0.201708269;NA;NA;NA;NA;-21.2676;11.147;5.8395
MED10-YLG-035;MED10-YLG-035;NA;MED;2010;YLG;-0.113002509;NA;NA;NA;NA;-22.0592;10.3492;7.1787
MED10-YLG-039;MED10-YLG-039;NA;MED;2010;YLG;-0.113571211;NA;NA;NA;NA;-20.4405;10.7743;8.7597
MED10-YLG-042;MED10-YLG-042;NA;MED;2010;YLG;0.350532341;NA;NA;NA;NA;-20.6498;10.9292;7.107
MED11-YLG-024;MED11-YLG-024;NA;MED;2011;YLG;0.083886136;NA;NA;NA;NA;-21.0644;11.2821;5.8587
MED11-YLG-026;MED11-YLG-026;NA;MED;2011;YLG;0.343247914;NA;NA;NA;NA;-21.0278;9.3304;5.4731
MED11-YLG-028;MED11-YLG-028;NA;MED;2011;YLG;0.041283357;NA;NA;NA;NA;-20.1865;11.0255;11.477
MED11-YLG-030;MED11-YLG-030;NA;MED;2011;YLG;0.372655097;NA;NA;NA;NA;-21.1366;10.501;5.7014
MED11-YLG-032;MED11-YLG-032;NA;MED;2011;YLG;0.083124272;NA;NA;NA;NA;-22.2015;10.8465;6.4926
MED11-YLG-034;MED11-YLG-034;NA;MED;2011;YLG;0.048372078;NA;NA;NA;NA;-20.6762;11.4318;7.2663
MED11-YLG-039;MED11-YLG-039;NA;MED;2011;YLG;0.252399338;NA;NA;NA;NA;-21.6467;10.1691;6.1323
MED11-YLG-041;MED11-YLG-041;NA;MED;2011;YLG;-0.246425732;NA;NA;NA;NA;-21.7595;9.1157;5.9234
MED11-YLG-042;MED11-YLG-042;NA;MED;2011;YLG;-0.159749366;NA;NA;NA;NA;-20.5706;10.7523;5
